d_id,d_name,description,symptoms,precautions
11,Fungal Infection,"A fungal infection can manifest on the skin, nails, or other body parts, leading to itching, redness, and discomfort.",[1]Itching. [2]Redness. [3]Pain. [4]Burning Sensation. [5]Peeling Skin,[1]Keep affected areas clean and dry. [2]Avoid tight or synthetic clothing. [3]Use antifungal creams. [4]Change socks and undergarments frequently.
12,Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, causing symptoms like nausea, vomiting, diarrhea, and abdominal pain.",[1]Nausea. [2]Vomiting. [3]Diarrhea. [4]Abdominal Pain. [5]Fever. [6]Dehydration,"[1]Stay hydrated with fluids. [2]Follow the BRAT diet (Bananas, Rice, Applesauce, Toast). [3]Avoid dairy and fatty foods. [4]Practice good hand hygiene."
13,Bronchial Asthma,"Bronchial asthma is a chronic respiratory condition characterized by recurrent episodes of wheezing, breathlessness, and chest tightness.","[1]Wheezing. [2]Shortness of Breath. [3]Chest Tightness. [4]Coughing, especially at night or early morning",[1]Use inhalers as prescribed. [2]Identify and avoid triggers. [3]Keep indoor air clean. [4]Create an asthma action plan.
14,Cervical Spondylosis,"Cervical spondylosis is a degenerative condition affecting the neck, causing neck pain, stiffness, and potential nerve-related symptoms.",[1]Neck Pain. [2]Stiffness in the Neck. [3]Headaches. [4]Weakness or Numbness in the Arms or Hands,[1]Maintain good neck posture. [2]Use ergonomic furniture. [3]Perform neck exercises. [4]Take breaks during prolonged activities.
15,Paralysis (Brain Hemorrhage),Paralysis resulting from a brain hemorrhage involves the loss of muscle function and control due to bleeding in the brain.,[1]Sudden Weakness. [2]Loss of Sensation. [3]Difficulty Speaking. [4]Severe Headache.,[1]Seek emergency medical attention. [2]Follow prescribed medications. [3]Participate in physical therapy. [4]Manage blood pressure.
16,Jaundice,Jaundice is a condition characterized by yellowing of the skin and eyes due to elevated bilirubin levels in the blood.,[1]Yellowing of Skin and Eyes. [2]Dark Urine. [3]Pale Stools. [4]Fatigue,[1]Stay well-hydrated. [2]Follow a low-fat diet. [3]Avoid alcohol and certain medications. [4]Seek medical attention for the underlying cause.
17,Chickenpox,Chickenpox is a highly contagious viral infection characterized by an itchy rash and flu-like symptoms.,[1]Itchy Red Spots. [2]Fever. [3]Headache. [4]Fatigue,[1]Take antiviral medications as prescribed. [2]Use calamine lotion for itching. [3]Stay hydrated. [4]Avoid scratching to prevent scarring.
18,Dengue,"Dengue is a mosquito-borne viral infection causing flu-like symptoms and, in severe cases, leading to hemorrhagic fever.",[1]High Fever. [2]Severe Headache. [3]Joint and Muscle Pain. [4]Skin Rash,[1]Stay well-hydrated. [2]Use mosquito repellent. [3]Wear long-sleeved clothing. [4]Seek medical attention for severe symptoms.
19,Hepatitis B,Hepatitis B is a viral infection affecting the liver and can lead to chronic liver disease and other complications.,[1]Jaundice. [2]Fatigue. [3]Abdominal Pain. [4]Dark Urine,[1]Get vaccinated. [2]Practice safe sex. [3]Avoid sharing needles. [4]Get regular screenings for early detection.
20,Tuberculosis,"Tuberculosis is a bacterial infection primarily affecting the lungs, causing respiratory symptoms and, in severe cases, other organ involvement.",[1]Persistent Cough. [2]Chest Pain. [3]Weight Loss. [4]Fever,[1]Take prescribed antibiotics. [2]Follow treatment regimen completely. [3]Cover mouth when coughing. [4]Maintain good respiratory hygiene.
21,Pneumonia,"Pneumonia is an inflammatory condition affecting the air sacs in the lungs, leading to symptoms like cough, fever, and difficulty breathing.",[1]Cough with Phlegm. [2]Fever. [3]Shortness of Breath. [4]Chest Pain,[1]Take prescribed antibiotics. [2]Stay hydrated. [3]Rest and get plenty of sleep. [4]Practice good hand hygiene.
22,Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.",[1]Acidity. [2]Indigestion. [3]Headache. [4]Blurred and distorted vision. [5]Excessive Hunger. [6]Stiff Neck. [7]Depression. [8]Irritability. [9]Visual Disturbances,[1]Meditation. [2]Reduce stress. [3]Use polaroid glasses in the sun. [4]Consult Doctor
23,Hemorrhoids (Piles),"Hemorrhoids are swollen and inflamed veins in the rectum and anus, causing discomfort and bleeding.",[1]Rectal Bleeding. [2]Itching or Irritation. [3]Pain or Discomfort. [4]Swelling around the anus,[1]Maintain a high-fiber diet. [2]Stay hydrated. [3]Avoid straining during bowel movements. [4]Practice good anal hygiene.
24,Hypothyroidism,"Hypothyroidism is a condition where the thyroid gland does not produce enough thyroid hormone, leading to various metabolic and systemic effects.",[1]Fatigue. [2]Weight Gain. [3]Cold Sensitivity. [4]Dry Skin,[1]Take prescribed thyroid medication. [2]Follow up with regular thyroid function tests. [3]Maintain a balanced diet. [4]Manage stress levels.
25,Hypoglycemia,"Hypoglycemia is a condition characterized by low blood sugar levels, often occurring in individuals with diabetes or other metabolic disorders.",[1]Shakiness. [2]Sweating. [3]Irritability. [4]Confusion,"[1]Consume fast-acting carbohydrates (e.g., glucose tablets). [2]Eat regular, balanced meals and snacks. [3]Monitor blood sugar levels regularly. [4]Inform others about your condition."
26,Osteoarthritis,Osteoarthritis is a degenerative joint disease that occurs when the protective cartilage on the ends of bones wears down over time.,[1]Joint Pain. [2]Stiffness. [3]Swelling. [4]Limited Range of Motion,[1]Engage in low-impact exercises. [2]Maintain a healthy weight. [3]Use joint protection techniques. [4]Consider physical therapy for strengthening.
27,Arthritis,"Arthritis is a general term for conditions that affect the joints, causing pain, inflammation, and reduced joint mobility.",[1]Joint Pain. [2]Swelling. [3]Stiffness. [4]Reduced Range of Motion,[1]Stay physically active with joint-friendly exercises. [2]Maintain a healthy weight. [3]Apply hot or cold therapy as needed. [4]Consider anti-inflammatory medications as prescribed.
28,Urinary Tract Infection (UTI),"A urinary tract infection is an infection in any part of the urinary system, including the kidneys, bladder, and urethra.",[1]Burning Sensation during Urination. [2]Frequent Urge to Urinate. [3]Cloudy or Strong-smelling Urine. [4]Pelvic Pain,[1]Stay well-hydrated. [2]Urinate regularly and completely. [3]Practice good personal hygiene. [4]Avoid irritants like harsh soaps in the genital area.
29,Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches that may occur on various parts of the body.","[1]Red, Inflamed Skin Patches. [2]Itching or Burning Sensation. [3]Thickened, Pitted Nails. [4]Joint Pain",[1]Keep skin moisturized. [2]Avoid triggers like stress and certain medications. [3]Use mild soaps and avoid hot water during showers. [4]Consult a dermatologist for appropriate treatment.
30,Impetigo,"Impetigo is a contagious skin infection characterized by red sores or blisters that can break open, ooze, and form a yellow-brown crust.",[1]Red Sores or Blisters. [2]Oozing of Fluid. [3]Formation of Yellow-Brown Crust. [4]Itching or Irritation,[1]Keep the affected area clean and dry. [2]Avoid scratching the sores. [3]Use prescribed antibiotics as directed. [4]Avoid close contact with others until the infection clears.
31,Allergy,"Allergies occur when the immune system reacts to a substance (allergen) as if it's harmful, leading to various symptoms.",[1]Sneezing. [2]Runny or Stuffy Nose. [3]Itchy or Watery Eyes. [4]Skin Rash or Hives,[1]Identify and avoid allergens. [2]Use air purifiers indoors. [3]Take prescribed antihistamines. [4]Seek medical advice for severe reactions.
32,Gastroesophageal Reflux Disease (GERD),"GERD is a chronic condition where stomach acid flows back into the esophagus, causing irritation and symptoms.",[1]Heartburn. [2]Regurgitation. [3]Chest Pain. [4]Difficulty Swallowing,[1]Maintain a healthy weight. [2]Avoid large meals and late-night eating. [3]Elevate the head of the bed during sleep. [4]Take prescribed medications as directed.
33,Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,[1]Chills [2]Vomiting [3]High_Fever [4]Sweating [5]Headache [6]Nausea [7]Diarrhoea [8]Muscle_Pain,[1]Consult nearest hospital. [2]Avoid oily food. [3]Avoid non-veg food. [4]Keep mosquitoes out.
34,Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches that may occur on various parts of the body.","[1]Red, Inflamed Skin Patches. [2]Itching or Burning Sensation. [3]Thickened, Pitted Nails. [4]Joint Pain",[1]Keep skin moisturized. [2]Avoid triggers like stress and certain medications. [3]Use mild soaps and avoid hot water during showers. [4]Consult a dermatologist for appropriate treatment.
35,Drug Reaction,Drug reaction refers to an adverse response or side effect caused by a medication or drug.,[1]Rash. [2]Itching. [3]Swelling. [4]Shortness of Breath. [5]Nausea. [6]Vomiting. [7]Dizziness. [8]Fever,[1]Discontinue the medication. [2]Seek immediate medical attention. [3]Inform healthcare providers about all medications. [4]Avoid self-prescription
36,Varicose Veins,"Varicose veins are enlarged, twisted veins that often appear dark purple or blue. They usually occur on the legs and can cause pain, swelling, or aching.","[1]Visible, twisted veins. [2]Pain or aching in the legs. [3]Swelling in the legs. [4]Itching or burning over the veins",[1]Elevate the legs when resting. [2]Wear compression stockings. [3]Engage in regular exercise. [4]Avoid prolonged standing or sitting
37,Chronic Cholestasis,"Chronic cholestasis is a condition where the flow of bile from the liver is reduced over a prolonged period, leading to various symptoms.",[1]Itchy Skin (Pruritus). [2]Dark Urine. [3]Pale Stool. [4]Jaundice,[1]Manage and relieve itching symptoms. [2]Maintain a balanced diet low in fat. [3]Stay well-hydrated. [4]Follow up with regular liver function tests
38,Alcoholic Hepatitis,Alcoholic hepatitis is inflammation of the liver caused by drinking alcohol. It can progress to more severe conditions and liver damage.,[1]Jaundice. [2]Abdominal Pain. [3]Nausea. [4]Vomiting. [5]Loss of Appetite,[1]Stop drinking alcohol. [2]Seek medical attention. [3]Follow a balanced diet. [4]Get support for alcohol cessation
39,Paroxysmal Vertigo,"Paroxysmal vertigo is a condition characterized by sudden, intense episodes of dizziness or a spinning sensation.",[1]Sudden Dizziness. [2]Loss of Balance. [3]Nausea. [4]Vomiting,[1]Avoid sudden head movements. [2]Sit or lie down during episodes. [3]Stay hydrated. [4]Consult a healthcare professional for further evaluation
